#hg38.knownGene.chrom	hg38.knownGene.txStart	hg38.knownGene.txEnd	hg38.kgXref.kgID	hg38.kgXref.geneSymbol
chr17	31094926	31377677	ENST00000358273.8	NF1
chr17	7666085	7676594	ENST00000359597.8	TP53
chr17	16091563	16194639	ENST00000395848.5	NCOR1
chr17	16032091	16080007	ENST00000395849.6	NCOR1
chr17	16031403	16194613	ENST00000395851.5	NCOR1
chr17	16030095	16215560	ENST00000395857.7	NCOR1
chr17	39694930	39728662	ENST00000406381.6	ERBB2
chr17	16126081	16215537	ENST00000411510.5	NCOR1
chr17	7661778	7676594	ENST00000413465.6	TP53
chr17	12020833	12143830	ENST00000415385.7	MAP2K4
chr17	7668403	7687481	ENST00000420246.6	TP53
chr17	31378890	31382106	ENST00000422121.2	NF1
chr17	16171862	16218185	ENST00000430577.2	NCOR1
chr17	31094976	31222764	ENST00000431387.8	NF1
chr17	16086398	16091918	ENST00000436068.1	NCOR1
chr17	16126131	16215530	ENST00000436828.5	NCOR1
chr17	39699975	39728079	ENST00000445658.6	ERBB2
chr17	7668420	7687487	ENST00000445888.6	TP53
chr17	7668403	7687481	ENST00000455263.6	TP53
chr17	31200535	31374433	ENST00000456735.6	NF1
chr17	16046899	16080513	ENST00000458113.6	NCOR1
chr17	16126131	16215530	ENST00000460276.5	NCOR1
chr17	16031403	16058336	ENST00000464381.5	NCOR1
chr17	31233029	31261794	ENST00000466819.5	NF1
chr17	16198170	16215401	ENST00000466825.1	NCOR1
chr17	31358547	31360956	ENST00000468273.1	NF1
chr17	16031403	16068412	ENST00000470782.5	NCOR1
chr17	31337816	31381887	ENST00000471572.6	NF1
chr17	16056973	16057935	ENST00000472189.1	NCOR1
chr17	31330328	31336873	ENST00000479536.2	NF1
chr17	31233029	31261794	ENST00000479614.1	NF1
chr17	31094926	31219359	ENST00000487476.5	NF1
chr17	31380140	31382116	ENST00000488981.1	NF1
chr17	31128457	31169964	ENST00000489712.6	NF1
chr17	31159064	31183472	ENST00000490416.2	NF1
chr17	31225082	31331904	ENST00000493220.5	NF1
chr17	31156040	31254292	ENST00000495910.6	NF1
chr17	31378647	31382116	ENST00000498569.5	NF1
chr17	7675228	7687427	ENST00000503591.1	TP53
chr17	7668401	7675493	ENST00000504290.5	TP53
chr17	7668401	7675493	ENST00000504937.5	TP53
chr17	7674525	7687487	ENST00000505014.5	TP53
chr17	7675115	7677434	ENST00000508793.5	TP53
chr17	7673534	7687487	ENST00000509690.5	TP53
chr17	7668401	7675493	ENST00000510385.5	TP53
chr17	7674216	7687427	ENST00000514944.5	TP53
chr17	12124298	12143730	ENST00000536413.2	MAP2K4
chr17	12020975	12141621	ENST00000538465.7	MAP2K4
chr17	39699559	39728662	ENST00000541774.5	ERBB2
chr17	7685259	7686371	ENST00000571370.1	TP53
chr17	7674253	7675119	ENST00000574684.1	TP53
chr17	7669568	7673587	ENST00000576024.1	TP53
chr17	31355803	31361602	ENST00000577967.1	NF1
chr17	39688118	39717657	ENST00000578199.5	ERBB2
chr17	39700079	39728577	ENST00000578373.5	ERBB2
chr17	39710355	39715292	ENST00000578502.1	ERBB2
chr17	39716973	39723968	ENST00000578630.1	ERBB2
chr17	39703193	39708492	ENST00000578709.5	ERBB2
chr17	31095207	31374287	ENST00000579081.5	NF1
chr17	12069755	12125350	ENST00000579089.5	MAP2K4
chr17	16032472	16047035	ENST00000579573.2	NCOR1
chr17	16040444	16057730	ENST00000579606.1	NCOR1
chr17	16164905	16194611	ENST00000579974.1	NCOR1
chr17	39717428	39725203	ENST00000580074.1	ERBB2
chr17	16039516	16057723	ENST00000580554.1	NCOR1
chr17	16031987	16040108	ENST00000580617.5	NCOR1
chr17	31318412	31336473	ENST00000581113.6	NF1
chr17	31337816	31360597	ENST00000581790.5	NF1
chr17	12069656	12125318	ENST00000581941.5	MAP2K4
chr17	12020828	12113318	ENST00000582183.5	MAP2K4
chr17	16126106	16215529	ENST00000582357.5	NCOR1
chr17	12095601	12110809	ENST00000582377.1	MAP2K4
chr17	16032432	16040659	ENST00000582565.1	NCOR1
chr17	39700073	39716311	ENST00000582648.5	ERBB2
chr17	39700073	39717655	ENST00000582788.5	ERBB2
chr17	39716550	39723950	ENST00000582818.5	ERBB2
chr17	31340279	31349150	ENST00000582892.1	NF1
chr17	12026886	12095694	ENST00000582897.5	MAP2K4
chr17	39707403	39726351	ENST00000583038.5	ERBB2
chr17	16101717	16122635	ENST00000583226.1	NCOR1
chr17	16046891	16049397	ENST00000583234.1	NCOR1
chr17	39709243	39710410	ENST00000583391.1	ERBB2
chr17	39688100	39695181	ENST00000584014.5	ERBB2
chr17	39706748	39709385	ENST00000584099.1	ERBB2
chr17	31337762	31343098	ENST00000584328.1	NF1
chr17	39700023	39728044	ENST00000584450.5	ERBB2
chr17	39687913	39728361	ENST00000584601.5	ERBB2
chr17	39717342	39720297	ENST00000584684.1	ERBB2
chr17	16061866	16065885	ENST00000584872.1	NCOR1
chr17	39728385	39730426	ENST00000584888.1	ERBB2
chr17	39700226	39712330	ENST00000584908.5	ERBB2
chr17	12113039	12129282	ENST00000585076.1	MAP2K4
chr17	16164870	16215548	ENST00000585296.1	NCOR1
chr17	12020869	12141282	ENST00000602305.5	MAP2K4
chr17	12020869	12141282	ENST00000602375.5	MAP2K4
chr17	12020886	12141260	ENST00000602537.5	MAP2K4
chr17	12020886	12141260	ENST00000602686.5	MAP2K4
chr17	12020869	12141282	ENST00000602811.5	MAP2K4
chr17	16039219	16039466	ENST00000603989.1	NCOR1
chr17	7675161	7687487	ENST00000604348.5	TP53
chr17	7668401	7687481	ENST00000610292.4	TP53
chr17	7668403	7687481	ENST00000610538.4	TP53
chr17	7668401	7675493	ENST00000610623.4	TP53
chr17	7669608	7676594	ENST00000615910.4	TP53
chr17	7668401	7687550	ENST00000617185.4	TP53
chr17	7668401	7675493	ENST00000618944.4	TP53
chr17	7668401	7675493	ENST00000619186.4	TP53
chr17	7668420	7687487	ENST00000619485.4	TP53
chr17	7668401	7687538	ENST00000620739.4	TP53
chr17	7668403	7687481	ENST00000622645.4	TP53
chr17	7665415	7687491	ENST00000635293.1	TP53
chr19	3522989	3534836	ENST00000313639.8	FZR1
chr19	3522989	3534836	ENST00000395095.7	FZR1
chr19	35718018	35738878	ENST00000420124.2	KMT2B
chr19	3506272	3538330	ENST00000441788.6	FZR1
chr21	34787800	35049344	ENST00000300305.7	RUNX1
chr21	34787800	34888690	ENST00000344691.8	RUNX1
chr21	34821278	34888690	ENST00000358356.9	RUNX1
chr21	34834409	34889790	ENST00000399237.6	RUNX1
chr21	34791785	34887183	ENST00000399240.5	RUNX1
chr21	34892924	35049270	ENST00000416754.1	RUNX1
chr21	34787800	35049298	ENST00000437180.5	RUNX1
chr21	34880605	35049298	ENST00000455571.5	RUNX1
chr21	35954659	35984749	ENST00000460207.1	RUNX1
chr21	34856288	34859578	ENST00000467577.1	RUNX1
chr21	35372506	35580760	ENST00000467692.5	RUNX1
chr21	35064715	35065072	ENST00000468726.1	RUNX1
chr21	34832960	34856447	ENST00000469087.1	RUNX1
chr21	34887045	36004667	ENST00000475045.6	RUNX1
chr21	34821278	34829970	ENST00000479325.1	RUNX1
chr21	34791754	35049288	ENST00000482318.5	RUNX1
chr21	35435660	35465329	ENST00000494829.1	RUNX1
chr10_KQ090021v1_fix	79261	182163	ENST00000644628.1	PTEN
chr10_KQ090021v1_fix	79261	182163	ENST00000645317.1	PTEN
