#hg19.knownGene.chrom	hg19.knownGene.txStart	hg19.knownGene.txEnd	hg19.kgXref.kgID	hg19.kgXref.geneSymbol
chr6	151977829	152163922	uc031sqa.1	ESR1
chr6	151977829	152163922	uc031sqb.1	ESR1
chr6	151977829	152163922	uc031sqc.1	ESR1
chr6	151977829	152163922	uc031sqd.1	ESR1
chr6	151977829	152163922	uc031sqe.1	ESR1
chr6	151977829	152163922	uc031sqf.1	ESR1
chr7	55086724	55224644	uc003tqh.3	EGFR
chr7	55086724	55236328	uc003tqi.3	EGFR
chr7	55086724	55238738	uc003tqj.3	EGFR
chr7	55086724	55275031	uc003tqk.3	EGFR
chr7	55220082	55220357	uc003tql.1	EGFR
chr7	55232972	55233846	uc003tqn.3	EGFR
chr7	91570188	91625366	uc003uld.4	AKAP9
chr7	91570188	91671095	uc003ule.2	AKAP9
chr7	91570188	91739987	uc003ulf.3	AKAP9
chr7	91570188	91739987	uc003ulg.3	AKAP9
chr7	91630161	91739987	uc003uli.3	AKAP9
chr7	91699343	91738365	uc003ulj.3	AKAP9
chr7	91712483	91719937	uc003ulk.3	AKAP9
chr7	91721302	91739987	uc003ull.3	AKAP9
chr7	151832009	151855010	uc003wkx.3	KMT2C
chr7	151832009	151875095	uc003wky.3	KMT2C
chr7	151832009	151935989	uc003wkz.3	KMT2C
chr7	151832009	152133090	uc003wla.3	KMT2C
chr7	55086724	55270769	uc010kzg.2	EGFR
chr7	55177539	55275031	uc011kco.2	EGFR
chr7	55224225	55238906	uc011kcp.1	EGFR
chr7	55224225	55238906	uc011kcq.1	EGFR
chr7	55086724	55270769	uc022adm.1	EGFR
chr7	55086724	55275031	uc022adn.1	EGFR
chr7	55248978	55259567	uc022ado.1	EGFR
chr9	21967750	21974826	uc003zpj.3	CDKN2A
chr9	21967750	21975132	uc003zpk.3	CDKN2A
chr9	21967750	21994490	uc003zpl.3	CDKN2A
chr9	113238162	113342160	uc004beu.2	SVEP1
chr9	113273804	113312384	uc004bev.3	SVEP1
chr9	139388895	139440238	uc004chz.3	NOTCH1
chr9	139396888	139408003	uc004cia.1	NOTCH1
chr9	21967750	21975132	uc010miu.3	CDKN2A
chr9	113127528	113191614	uc010mty.3	SVEP1
chr9	113127528	113342160	uc010mtz.3	SVEP1
chr9	113204758	113342160	uc010mua.1	SVEP1
chrX	70338405	70362304	uc004dyy.3	MED12
chrX	70338405	70362304	uc004dyz.3	MED12
chrX	70339863	70362304	uc004dza.3	MED12
chrX	70349529	70362304	uc010nla.3	MED12
chrX	70338405	70357793	uc011mpq.1	MED12
chrX	70344825	70345563	uc022byq.1	MED12
chr10	8096666	8117164	uc001ijz.3	GATA3
chr10	8096666	8117164	uc001ika.3	GATA3
chr10	89623194	89728532	uc001kfb.3	PTEN
chr10	89623194	89728532	uc021pvw.1	PTEN
chr11	108093558	108239826	uc001pkb.1	ATM
chr11	108094255	108100091	uc001pkc.1	ATM
chr11	108157904	108161367	uc001pkd.4	ATM
chr11	108157904	108239826	uc001pke.2	ATM
chr11	108158326	108166721	uc001pkf.3	ATM
chr11	108167700	108204695	uc001pkg.1	ATM
chr11	118307204	118345030	uc001psz.1	KMT2A
chr11	118307204	118397539	uc001pta.3	KMT2A
chr11	118307204	118397539	uc001ptb.3	KMT2A
chr11	108093558	108239826	uc009yxr.1	ATM
chr11	108139136	108142133	uc009yxs.1	ATM
chr11	108175401	108186638	uc009yxt.1	ATM
chr12	25358179	25403854	uc001rgp.1	KRAS
chr12	25358179	25403854	uc001rgq.1	KRAS
chr12	25386767	25403863	uc001rgr.3	KRAS
chr12	49412757	49449107	uc001rta.4	KMT2D
chr12	115108058	115121969	uc001tvt.1	TBX3
chr12	115108058	115121969	uc001tvu.1	TBX3
chr12	115117760	115121969	uc010syw.1	TBX3
chr13	48877882	49056026	uc001vcb.3	RB1
chr13	48877882	48937093	uc010acs.1	RB1
chr13	48934152	48951170	uc010act.1	RB1
chr14	38058756	38064325	uc001wuf.4	FOXA1
chr14	105235686	105238058	uc001ypj.3	AKT1
chr14	105235686	105259938	uc001ypk.3	AKT1
chr14	105235686	105259938	uc001ypl.3	AKT1
chr14	105235686	105262080	uc001ypm.3	AKT1
chr14	105235686	105262080	uc001ypn.3	AKT1
chr14	105235686	105260528	uc010axa.3	AKT1
chr14	38058756	38063467	uc010tpz.3	FOXA1
chr14	105235686	105244015	uc010tyk.2	AKT1
chr16	68771194	68869444	uc002ewg.1	CDH1
chr16	68771194	68869444	uc010cfg.1	CDH1
chr16	68771194	68869444	uc010vlj.1	CDH1
chr17	7565096	7579937	uc002gig.1	TP53
chr17	7569403	7579937	uc002gih.3	TP53
chr17	7571719	7578811	uc002gii.2	TP53
chr17	7571719	7590868	uc002gij.3	TP53
chr17	7571719	7590868	uc002gim.3	TP53
chr17	7577498	7590868	uc002gin.3	TP53
chr17	7577498	7590868	uc002gio.3	TP53
chr17	11924134	12047051	uc002gnj.3	MAP2K4
chr17	11924134	12047051	uc002gnk.3	MAP2K4
chr17	15933407	15961649	uc002gpl.3	NCOR1
chr17	15933407	15971726	uc002gpm.3	NCOR1
chr17	15933407	16097953	uc002gpn.3	NCOR1
chr17	15933407	16118874	uc002gpo.3	NCOR1
chr17	15973478	16097953	uc002gpp.1	NCOR1
chr17	15989595	15995372	uc002gpq.1	NCOR1
chr17	15994883	16097953	uc002gpr.3	NCOR1
chr17	16029395	16118874	uc002gps.2	NCOR1
chr17	16068183	16118874	uc002gpu.3	NCOR1
chr17	29421944	29546377	uc002hge.2	NF1
chr17	29421944	29549782	uc002hgf.2	NF1
chr17	29421944	29704695	uc002hgg.3	NF1
chr17	29421944	29704695	uc002hgh.3	NF1
chr17	29552100	29658922	uc002hgi.1	NF1
chr17	37844392	37873910	uc002hsl.3	ERBB2
chr17	37844392	37884915	uc002hsm.3	ERBB2
chr17	37856253	37868583	uc002hsn.1	ERBB2
chr17	37856253	37884915	uc002hso.3	ERBB2
chr17	37856253	37884915	uc002hsp.3	ERBB2
chr17	7571719	7576926	uc010cne.1	TP53
chr17	7571719	7578811	uc010cnf.2	TP53
chr17	7571719	7578811	uc010cng.2	TP53
chr17	7571719	7590868	uc010cnh.2	TP53
chr17	7571719	7590868	uc010cni.2	TP53
chr17	7577498	7578554	uc010cnj.1	TP53
chr17	7579311	7590868	uc010cnk.2	TP53
chr17	15933407	15983893	uc010coy.3	NCOR1
chr17	16029395	16118874	uc010coz.2	NCOR1
chr17	16029395	16118874	uc010cpa.2	NCOR1
chr17	16029395	16118874	uc010cpb.2	NCOR1
chr17	29483000	29579822	uc010csn.2	NF1
chr17	29592246	29704695	uc010cso.3	NF1
chr17	37844392	37884915	uc010cwa.3	ERBB2
chr17	37856253	37884915	uc010cwb.3	ERBB2
chr17	7577850	7590868	uc010vug.3	TP53
chr17	11973102	12047051	uc010vvi.2	MAP2K4
chr17	11973102	12047051	uc010vvj.2	MAP2K4
chr17	15933407	15983378	uc010vwb.2	NCOR1
chr17	15950213	15983823	uc010vwc.2	NCOR1
chr17	29664836	29687721	uc010wbt.1	NF1
chr17	29664836	29708905	uc010wbu.1	NF1
chr17	37856253	37884915	uc010wek.2	ERBB2
chr17	7571719	7579937	uc031qyp.1	TP53
chr17	7571719	7590868	uc031qyq.1	TP53
chr17	37844392	37851434	uc031raa.1	ERBB2
chr19	1205797	1228434	uc002lrl.1	STK11
chr19	3506294	3536755	uc002lxt.2	FZR1
chr19	3522953	3536755	uc002lxv.2	FZR1
chr19	10596795	10602938	uc002mop.1	KEAP1
chr19	10596795	10613481	uc002moq.1	KEAP1
chr19	10596795	10614054	uc002mor.1	KEAP1
chr19	3522953	3536755	uc010dtk.2	FZR1
chr19	36208920	36229779	uc021usu.2	KMT2B
chr19	36208920	36229779	uc021usv.1	KMT2B
chr21	36160097	36260987	uc002yuh.3	RUNX1
chr21	36160097	36421595	uc002yuj.4	RUNX1
chr21	36160097	36421641	uc002yuk.4	RUNX1
chr21	36169709	36206898	uc002yul.1	RUNX1
chr21	36169709	36421255	uc002yum.1	RUNX1
chr21	36193573	36202268	uc002yun.1	RUNX1
chr21	36193573	36260987	uc002yuo.1	RUNX1
chr21	36231630	36253010	uc002yur.1	RUNX1
chr21	36259139	37357047	uc002yut.1	RUNX1
chr21	36160097	36421462	uc010gmu.3	RUNX1
chr21	36160097	36421595	uc010gmv.3	RUNX1
chr21	36205257	36421595	uc010gmw.1	RUNX1
